[2J[HCONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT   MEM %     NET I/O   BLOCK I/O   PIDS
dfb44cd3e32e   redis_test_20   170.18%   74.78MiB / 15.64GiB   0.47%     806B / 0B   0B / 0B     6
dfb44cd3e32e   redis_test_20   170.18%   74.78MiB / 15.64GiB   0.47%     806B / 0B   0B / 0B     6
dfb44cd3e32e   redis_test_20   182.16%   70.64MiB / 15.64GiB   0.44%     806B / 0B   0B / 0B     6
dfb44cd3e32e   redis_test_20   182.16%   70.64MiB / 15.64GiB   0.44%     806B / 0B   0B / 0B     6
dfb44cd3e32e   redis_test_20   175.67%   70.67MiB / 15.64GiB   0.44%     806B / 0B   0B / 0B     6
dfb44cd3e32e   redis_test_20   175.67%   70.67MiB / 15.64GiB   0.44%     806B / 0B   0B / 0B     6
dfb44cd3e32e   redis_test_20   178.51%   70.56MiB / 15.64GiB   0.44%     806B / 0B   0B / 0B     6
dfb44cd3e32e   redis_test_20   178.51%   70.56MiB / 15.64GiB   0.44%     806B / 0B   0B / 0B     6
dfb44cd3e32e   redis_test_20   155.18%   67.9MiB / 15.64GiB   0.42%     806B / 0B   0B / 0B     5

8e9bbde054a8   redis_test_50   0.03%     1.133MiB / 15.64GiB   0.01%     200B / 0B   0B / 0B     1
8e9bbde054a8   redis_test_50   0.03%     1.133MiB / 15.64GiB   0.01%     200B / 0B   0B / 0B     1
8e9bbde054a8   redis_test_50   144.79%   19.89MiB / 15.64GiB   0.12%     486B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   144.79%   19.89MiB / 15.64GiB   0.12%     486B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   187.79%   35.61MiB / 15.64GiB   0.22%     646B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   187.79%   35.61MiB / 15.64GiB   0.22%     646B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   182.49%   51.82MiB / 15.64GiB   0.32%     736B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   182.49%   51.82MiB / 15.64GiB   0.32%     736B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   184.87%   62.24MiB / 15.64GiB   0.39%     736B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   184.87%   62.24MiB / 15.64GiB   0.39%     736B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   182.08%   70.19MiB / 15.64GiB   0.44%     736B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   182.08%   70.19MiB / 15.64GiB   0.44%     736B / 0B   0B / 0B     6
