[2J[HCONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT   MEM %     NET I/O   BLOCK I/O   PIDS
f44baee497b0   redis_test_2000   194.52%   1.176GiB / 15.64GiB   7.52%     806B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   193.22%   1.292GiB / 15.64GiB   8.26%     806B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   193.22%   1.292GiB / 15.64GiB   8.26%     806B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   176.01%   1.306GiB / 15.64GiB   8.35%     806B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   176.01%   1.306GiB / 15.64GiB   8.35%     806B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   185.65%   1.306GiB / 15.64GiB   8.35%     806B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   185.65%   1.306GiB / 15.64GiB   8.35%     806B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   184.14%   1.306GiB / 15.64GiB   8.35%     806B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   184.14%   1.306GiB / 15.64GiB   8.35%     806B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   184.14%   1.306GiB / 15.64GiB   8.35%     806B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   180.42%   1.303GiB / 15.64GiB   8.33%     806B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   180.42%   1.303GiB / 15.64GiB   8.33%     806B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   181.31%   1.302GiB / 15.64GiB   8.33%     806B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   181.31%   1.302GiB / 15.64GiB   8.33%     806B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   180.95%   1.303GiB / 15.64GiB   8.33%     806B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   180.95%   1.303GiB / 15.64GiB   8.33%     806B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   176.67%   1.303GiB / 15.64GiB   8.33%     806B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   176.67%   1.303GiB / 15.64GiB   8.33%     806B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   140.76%   1.3GiB / 15.64GiB   8.31%     876B / 0B   0B / 0B     5
f44baee497b0   redis_test_2000   140.76%   1.3GiB / 15.64GiB   8.31%     876B / 0B   0B / 0B     5
f44baee497b0   redis_test_2000   62.98%    1.304GiB / 15.64GiB   8.34%     876B / 0B   0B / 134MB   5
f44baee497b0   redis_test_2000   62.98%    1.304GiB / 15.64GiB   8.34%     876B / 0B   0B / 134MB   5
f44baee497b0   redis_test_2000   91.21%    1.309GiB / 15.64GiB   8.37%     876B / 0B   0B / 302MB   5
f44baee497b0   redis_test_2000   91.21%    1.309GiB / 15.64GiB   8.37%     876B / 0B   0B / 302MB   5
f44baee497b0   redis_test_2000   50.58%    1.311GiB / 15.64GiB   8.38%     876B / 0B   0B / 436MB   5
f44baee497b0   redis_test_2000   50.58%    1.311GiB / 15.64GiB   8.38%     876B / 0B   0B / 436MB   5
f44baee497b0   redis_test_2000   90.85%    1.317GiB / 15.64GiB   8.42%     876B / 0B   0B / 638MB   5
f44baee497b0   redis_test_2000   90.85%    1.317GiB / 15.64GiB   8.42%     876B / 0B   0B / 638MB   5
f44baee497b0   redis_test_2000   89.59%    1.322GiB / 15.64GiB   8.45%     876B / 0B   0B / 805MB   5
f44baee497b0   redis_test_2000   89.59%    1.322GiB / 15.64GiB   8.45%     876B / 0B   0B / 805MB   5
f44baee497b0   redis_test_2000   80.84%    1.327GiB / 15.64GiB   8.48%     876B / 0B   0B / 1.01GB   5
f44baee497b0   redis_test_2000   80.84%    1.327GiB / 15.64GiB   8.48%     876B / 0B   0B / 1.01GB   5
f44baee497b0   redis_test_2000   67.63%    1.329GiB / 15.64GiB   8.50%     876B / 0B   0B / 1.14GB   5

188bd98202cf   redis_test_5000   0.02%     1.242MiB / 15.64GiB   0.01%     200B / 0B   0B / 0B     1
188bd98202cf   redis_test_5000   0.02%     1.242MiB / 15.64GiB   0.01%     200B / 0B   0B / 0B     1
188bd98202cf   redis_test_5000   152.45%   509.7MiB / 15.64GiB   3.18%     486B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   152.45%   509.7MiB / 15.64GiB   3.18%     486B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   195.47%   1.066GiB / 15.64GiB   6.82%     646B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   195.47%   1.066GiB / 15.64GiB   6.82%     646B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   195.49%   1.567GiB / 15.64GiB   10.02%    736B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   195.49%   1.567GiB / 15.64GiB   10.02%    736B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   195.05%   2GiB / 15.64GiB     12.79%    736B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   195.05%   2GiB / 15.64GiB     12.79%    736B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   195.06%   2.374GiB / 15.64GiB   15.18%    736B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   195.06%   2.374GiB / 15.64GiB   15.18%    736B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   195.88%   2.694GiB / 15.64GiB   17.23%    736B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   195.88%   2.694GiB / 15.64GiB   17.23%    736B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   195.33%   2.978GiB / 15.64GiB   19.04%    806B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   195.33%   2.978GiB / 15.64GiB   19.04%    806B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   195.33%   2.978GiB / 15.64GiB   19.04%    806B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   176.75%   3.102GiB / 15.64GiB   19.84%    806B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   176.75%   3.102GiB / 15.64GiB   19.84%    806B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   185.79%   3.103GiB / 15.64GiB   19.84%    806B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   185.79%   3.103GiB / 15.64GiB   19.84%    806B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   185.62%   3.103GiB / 15.64GiB   19.84%    806B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   185.62%   3.103GiB / 15.64GiB   19.84%    806B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   180.61%   3.099GiB / 15.64GiB   19.82%    806B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   180.61%   3.099GiB / 15.64GiB   19.82%    806B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   180.33%   3.099GiB / 15.64GiB   19.82%    806B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   180.33%   3.099GiB / 15.64GiB   19.82%    806B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   182.82%   3.099GiB / 15.64GiB   19.82%    806B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   182.82%   3.099GiB / 15.64GiB   19.82%    806B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   185.23%   3.099GiB / 15.64GiB   19.82%    806B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   185.23%   3.099GiB / 15.64GiB   19.82%    806B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   186.15%   3.099GiB / 15.64GiB   19.82%    806B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   186.15%   3.099GiB / 15.64GiB   19.82%    806B / 0B   0B / 0B     6
188bd98202cf   redis_test_5000   126.99%   3.097GiB / 15.64GiB   19.80%    876B / 0B   0B / 33.6MB   5
188bd98202cf   redis_test_5000   126.99%   3.097GiB / 15.64GiB   19.80%    876B / 0B   0B / 33.6MB   5
188bd98202cf   redis_test_5000   90.40%    3.103GiB / 15.64GiB   19.84%    876B / 0B   0B / 235MB   5
188bd98202cf   redis_test_5000   90.40%    3.103GiB / 15.64GiB   19.84%    876B / 0B   0B / 235MB   5
188bd98202cf   redis_test_5000   43.48%    3.105GiB / 15.64GiB   19.85%    876B / 0B   24.6kB / 336MB   5
188bd98202cf   redis_test_5000   43.48%    3.105GiB / 15.64GiB   19.85%    876B / 0B   24.6kB / 336MB   5
188bd98202cf   redis_test_5000   84.05%    3.11GiB / 15.64GiB   19.89%    876B / 0B   24.6kB / 537MB   5
188bd98202cf   redis_test_5000   84.05%    3.11GiB / 15.64GiB   19.89%    876B / 0B   24.6kB / 537MB   5
188bd98202cf   redis_test_5000   6.58%     3.11GiB / 15.64GiB   19.89%    876B / 0B   24.6kB / 537MB   5
188bd98202cf   redis_test_5000   6.58%     3.11GiB / 15.64GiB   19.89%    876B / 0B   24.6kB / 537MB   5
188bd98202cf   redis_test_5000   90.68%    3.116GiB / 15.64GiB   19.93%    876B / 0B   24.6kB / 738MB   5
188bd98202cf   redis_test_5000   90.68%    3.116GiB / 15.64GiB   19.93%    876B / 0B   24.6kB / 738MB   5
188bd98202cf   redis_test_5000   91.55%    3.121GiB / 15.64GiB   19.96%    876B / 0B   24.6kB / 940MB   5
188bd98202cf   redis_test_5000   91.55%    3.121GiB / 15.64GiB   19.96%    876B / 0B   24.6kB / 940MB   5
188bd98202cf   redis_test_5000   76.59%    3.125GiB / 15.64GiB   19.99%    876B / 0B   41kB / 1.14GB   5
188bd98202cf   redis_test_5000   76.59%    3.125GiB / 15.64GiB   19.99%    876B / 0B   41kB / 1.14GB   5
188bd98202cf   redis_test_5000   13.54%    3.126GiB / 15.64GiB   19.99%    876B / 0B   41kB / 1.14GB   5
188bd98202cf   redis_test_5000   13.54%    3.126GiB / 15.64GiB   19.99%    876B / 0B   41kB / 1.14GB   5
188bd98202cf   redis_test_5000   1.70%     3.126GiB / 15.64GiB   19.99%    876B / 0B   41kB / 1.17GB   5
188bd98202cf   redis_test_5000   1.70%     3.126GiB / 15.64GiB   19.99%    876B / 0B   41kB / 1.17GB   5
